disaster_type, severity, road_blocked, district, recommended_resources
FLOOD        ,        8,            1, Dang    ,                     8
FLOOD        ,        6,            0, Surkhet ,                     5
FLOOD        ,       10,            1, Dang    ,                     8
FOREST_FIRE  ,        2,            1, Salyan  ,                     4
FIRE         ,        9,            1, Dang    ,                     7
FLOOD        ,       10,            0, Rolpa   ,                     7
FIRE         ,        3,            0, Kailali ,                     2
FLOOD        ,        2,            0, Dolpa   ,                     3
FOREST_FIRE  ,        3,            0, Jumla   ,                     2
FLOOD        ,        9,            1, Bardiya ,                     8
FOREST_FIRE  ,        7,            0, Surkhet ,                     4
FOREST_FIRE  ,        7,            1, Dang    ,                     6
FOREST_FIRE  ,       10,            0, Rolpa   ,                     6
FLOOD        ,        9,            1, Jumla   ,                     8
FLOOD        ,        3,            1, Salyan  ,                     5
FIRE         ,        2,            0, Banke   ,                     2
FIRE         ,        5,            0, Salyan  ,                     3
FOREST_FIRE  ,        9,            0, Surkhet ,                     5
FOREST_FIRE  ,        6,            0, Salyan  ,                     4
FIRE         ,        9,            1, Dang    ,                     7
FLOOD        ,        8,            1, Banke   ,                     8
FLOOD        ,        4,            0, Banke   ,                     4
FLOOD        ,        3,            0, Kailali ,                     3
FIRE         ,        6,            0, Banke   ,                     4
FIRE         ,        6,            0, Bardiya ,                     4
FLOOD        ,        5,            0, Banke   ,                     4
FOREST_FIRE  ,        4,            1, Banke   ,                     5
FOREST_FIRE  ,        5,            1, Rolpa   ,                     5
FLOOD        ,        6,            0, Dolpa   ,                     5
FIRE         ,        6,            1, Surkhet ,                     6
FOREST_FIRE  ,        3,            1, Dolpa   ,                     4
FLOOD        ,        9,            0, Jumla   ,                     6
FIRE         ,        5,            0, Bardiya ,                     3
FLOOD        ,        5,            1, Dolpa   ,                     6
FIRE         ,        8,            1, Surkhet ,                     7
FIRE         ,        1,            0, Salyan  ,                     1
FLOOD        ,        8,            0, Bardiya ,                     6
FIRE         ,        1,            0, Rukum   ,                     1
FLOOD        ,        9,            0, Rukum   ,                     6
FLOOD        ,        9,            0, Dang    ,                     6
FOREST_FIRE  ,        7,            1, Rukum   ,                     6
FOREST_FIRE  ,        6,            0, Banke   ,                     4
FIRE         ,        8,            0, Dolpa   ,                     5
FOREST_FIRE  ,        8,            0, Rukum   ,                     5
FLOOD        ,        5,            0, Salyan  ,                     4
FLOOD        ,        2,            1, Dolpa   ,                     5
FOREST_FIRE  ,       10,            0, Rukum   ,                     6
FLOOD        ,        6,            0, Rukum   ,                     5
FOREST_FIRE  ,        2,            0, Salyan  ,                     2
FLOOD        ,        6,            0, Salyan  ,                     5
FOREST_FIRE  ,        1,            1, Dolpa   ,                     3
FIRE         ,        1,            1, Surkhet ,                     3
FOREST_FIRE  ,        1,            1, Dolpa   ,                     3
FOREST_FIRE  ,        4,            0, Salyan  ,                     3
FOREST_FIRE  ,        8,            0, Surkhet ,                     5
FOREST_FIRE  ,        1,            0, Salyan  ,                     1
FOREST_FIRE  ,        8,            1, Dang    ,                     7
FOREST_FIRE  ,        3,            1, Banke   ,                     4
FOREST_FIRE  ,       10,            1, Kailali ,                     8
FLOOD        ,       10,            1, Surkhet ,                     8
FIRE         ,        1,            0, Rukum   ,                     1
FLOOD        ,        4,            1, Rolpa   ,                     6
FIRE         ,        6,            0, Dang    ,                     4
FLOOD        ,        1,            1, Kailali ,                     4
FOREST_FIRE  ,        9,            0, Surkhet ,                     5
FLOOD        ,       10,            0, Rolpa   ,                     7
FOREST_FIRE  ,        1,            0, Kailali ,                     1
FOREST_FIRE  ,        3,            0, Bardiya ,                     2
FIRE         ,       10,            0, Jumla   ,                     6
FIRE         ,        3,            1, Banke   ,                     4
FOREST_FIRE  ,        5,            0, Rukum   ,                     3
FLOOD        ,        9,            0, Jumla   ,                     6
FOREST_FIRE  ,        1,            0, Kailali ,                     1
FLOOD        ,        1,            0, Kailali ,                     2
FLOOD        ,        9,            0, Bardiya ,                     6
FOREST_FIRE  ,        3,            1, Rolpa   ,                     4
FLOOD        ,        4,            1, Surkhet ,                     6
FLOOD        ,        7,            0, Dolpa   ,                     5
FIRE         ,        4,            0, Jumla   ,                     3
FLOOD        ,        1,            0, Surkhet ,                     2
FIRE         ,        1,            0, Bardiya ,                     1
FOREST_FIRE  ,        9,            0, Rukum   ,                     5
FLOOD        ,        2,            0, Salyan  ,                     3
FIRE         ,        2,            0, Dolpa   ,                     2
FIRE         ,        6,            1, Dang    ,                     6
FOREST_FIRE  ,        3,            1, Kailali ,                     4
FOREST_FIRE  ,        2,            1, Bardiya ,                     4
FLOOD        ,        7,            0, Dang    ,                     5
FLOOD        ,        5,            0, Dolpa   ,                     4
FIRE         ,        3,            0, Salyan  ,                     2
FLOOD        ,        8,            1, Dang    ,                     8
FOREST_FIRE  ,        3,            1, Dang    ,                     4
FOREST_FIRE  ,        7,            1, Rolpa   ,                     6
FLOOD        ,        5,            0, Rolpa   ,                     4
FLOOD        ,        1,            0, Salyan  ,                     2
FIRE         ,        6,            0, Salyan  ,                     4
FOREST_FIRE  ,        2,            0, Banke   ,                     2
FLOOD        ,        5,            1, Bardiya ,                     6
FOREST_FIRE  ,        8,            1, Banke   ,                     7
FOREST_FIRE  ,        9,            1, Rukum   ,                     7
FOREST_FIRE  ,        7,            0, Jumla   ,                     4
FOREST_FIRE  ,        6,            0, Salyan  ,                     4
FLOOD        ,       10,            1, Rolpa   ,                     8
FOREST_FIRE  ,        8,            1, Rolpa   ,                     7
FOREST_FIRE  ,        8,            1, Dang    ,                     7
FOREST_FIRE  ,        7,            1, Kailali ,                     6
FOREST_FIRE  ,        2,            1, Rukum   ,                     4
FIRE         ,        1,            1, Salyan  ,                     3
FLOOD        ,        3,            0, Rolpa   ,                     3
FLOOD        ,        2,            1, Rolpa   ,                     5
FIRE         ,        6,            0, Rolpa   ,                     4
FIRE         ,        4,            0, Salyan  ,                     3
FLOOD        ,       10,            1, Dolpa   ,                     8
FOREST_FIRE  ,        4,            0, Banke   ,                     3
FLOOD        ,        9,            0, Jumla   ,                     6
FOREST_FIRE  ,        9,            0, Salyan  ,                     5
FOREST_FIRE  ,        4,            0, Dang    ,                     3
FIRE         ,        1,            1, Kailali ,                     3
FOREST_FIRE  ,        5,            0, Dang    ,                     3
FLOOD        ,        9,            0, Jumla   ,                     6
FIRE         ,        6,            0, Jumla   ,                     4
FOREST_FIRE  ,        6,            0, Salyan  ,                     4
FOREST_FIRE  ,       10,            1, Banke   ,                     8
FIRE         ,        6,            0, Rolpa   ,                     4
FLOOD        ,        6,            0, Surkhet ,                     5
FIRE         ,        5,            0, Jumla   ,                     3
FIRE         ,        3,            1, Jumla   ,                     4
FOREST_FIRE  ,       10,            0, Dolpa   ,                     6
FIRE         ,        4,            0, Salyan  ,                     3
FLOOD        ,        9,            1, Bardiya ,                     8
FLOOD        ,        6,            1, Jumla   ,                     7
FOREST_FIRE  ,        2,            0, Dang    ,                     2
FLOOD        ,        8,            1, Kailali ,                     8
FLOOD        ,        6,            0, Jumla   ,                     5
FLOOD        ,        4,            1, Rukum   ,                     6
FIRE         ,        1,            1, Rolpa   ,                     3
FOREST_FIRE  ,        4,            0, Salyan  ,                     3
FOREST_FIRE  ,       10,            1, Salyan  ,                     8
FIRE         ,        6,            1, Dolpa   ,                     6
FOREST_FIRE  ,        4,            1, Kailali ,                     5
FLOOD        ,        2,            1, Dang    ,                     5
FOREST_FIRE  ,        6,            1, Dolpa   ,                     6
FOREST_FIRE  ,        2,            1, Dang    ,                     4
FOREST_FIRE  ,        3,            1, Jumla   ,                     4
FOREST_FIRE  ,       10,            1, Dolpa   ,                     8
FLOOD        ,        7,            1, Salyan  ,                     7
FLOOD        ,        2,            1, Banke   ,                     5
FOREST_FIRE  ,        6,            1, Bardiya ,                     6
FOREST_FIRE  ,        2,            0, Salyan  ,                     2
FLOOD        ,        5,            1, Kailali ,                     6
FIRE         ,        3,            1, Banke   ,                     4
FOREST_FIRE  ,        4,            0, Surkhet ,                     3
FOREST_FIRE  ,        4,            0, Surkhet ,                     3
FLOOD        ,       10,            0, Rukum   ,                     7
FIRE         ,        1,            1, Jumla   ,                     3
FIRE         ,        2,            0, Dolpa   ,                     2
FIRE         ,        4,            1, Banke   ,                     5
FIRE         ,        7,            1, Rolpa   ,                     6
FIRE         ,        2,            1, Kailali ,                     4
FLOOD        ,        8,            0, Rolpa   ,                     6
FIRE         ,        1,            0, Banke   ,                     1
FLOOD        ,        4,            0, Banke   ,                     4
FLOOD        ,        2,            1, Dolpa   ,                     5
FIRE         ,        6,            1, Rukum   ,                     6
FIRE         ,       10,            1, Bardiya ,                     8
FLOOD        ,        5,            0, Surkhet ,                     4
FIRE         ,        9,            1, Surkhet ,                     7
FOREST_FIRE  ,        5,            0, Bardiya ,                     3
FLOOD        ,       10,            0, Kailali ,                     7
FLOOD        ,        3,            1, Rolpa   ,                     5
FLOOD        ,        9,            0, Banke   ,                     6
FIRE         ,        8,            0, Dolpa   ,                     5
FIRE         ,        9,            0, Banke   ,                     5
FOREST_FIRE  ,        4,            1, Bardiya ,                     5
FIRE         ,        6,            1, Dolpa   ,                     6
FLOOD        ,        7,            1, Dang    ,                     7
FOREST_FIRE  ,        7,            1, Rolpa   ,                     6
FOREST_FIRE  ,        1,            1, Kailali ,                     3
FOREST_FIRE  ,        5,            1, Banke   ,                     5
FIRE         ,       10,            1, Bardiya ,                     8
FIRE         ,        6,            0, Surkhet ,                     4
FIRE         ,        1,            0, Salyan  ,                     1
FLOOD        ,        8,            0, Bardiya ,                     6
FOREST_FIRE  ,        8,            0, Surkhet ,                     5
FOREST_FIRE  ,        4,            1, Rolpa   ,                     5
FIRE         ,        9,            0, Bardiya ,                     5
FIRE         ,       10,            0, Dolpa   ,                     6
FLOOD        ,        3,            1, Bardiya ,                     5
FLOOD        ,       10,            1, Bardiya ,                     8
FLOOD        ,       10,            1, Dang    ,                     8
FLOOD        ,        7,            0, Jumla   ,                     5
FLOOD        ,       10,            1, Surkhet ,                     8
FIRE         ,        9,            0, Kailali ,                     5
FOREST_FIRE  ,        7,            1, Banke   ,                     6
FIRE         ,        8,            1, Dolpa   ,                     7
FOREST_FIRE  ,        7,            0, Jumla   ,                     4
FOREST_FIRE  ,        6,            0, Rukum   ,                     4
FLOOD        ,        8,            1, Surkhet ,                     8
FLOOD        ,        6,            0, Kailali ,                     5
FOREST_FIRE  ,        2,            1, Surkhet ,                     4
FLOOD        ,        4,            1, Salyan  ,                     6
FOREST_FIRE  ,        4,            1, Dolpa   ,                     5
FOREST_FIRE  ,        9,            0, Salyan  ,                     5
FOREST_FIRE  ,        2,            1, Rukum   ,                     4
FIRE         ,        5,            0, Banke   ,                     3
FLOOD        ,        6,            1, Jumla   ,                     7
FLOOD        ,        1,            1, Banke   ,                     4
FOREST_FIRE  ,        7,            1, Bardiya ,                     6
FOREST_FIRE  ,        4,            1, Kailali ,                     5
FLOOD        ,        1,            1, Salyan  ,                     4
FOREST_FIRE  ,        7,            1, Dolpa   ,                     6
FOREST_FIRE  ,        2,            0, Rolpa   ,                     2
FIRE         ,        1,            1, Salyan  ,                     3
FIRE         ,        8,            0, Rolpa   ,                     5
FOREST_FIRE  ,        4,            1, Dang    ,                     5
FOREST_FIRE  ,        5,            1, Kailali ,                     5
FLOOD        ,        8,            0, Surkhet ,                     6
FIRE         ,        3,            1, Surkhet ,                     4
FIRE         ,        4,            0, Dang    ,                     3
FIRE         ,        3,            0, Kailali ,                     2
FLOOD        ,       10,            0, Salyan  ,                     7
FLOOD        ,        8,            1, Rolpa   ,                     8
FOREST_FIRE  ,        2,            0, Bardiya ,                     2
FIRE         ,        9,            1, Dang    ,                     7
FOREST_FIRE  ,        9,            1, Surkhet ,                     7
FOREST_FIRE  ,        2,            0, Rukum   ,                     2
FOREST_FIRE  ,        4,            0, Bardiya ,                     3
FOREST_FIRE  ,        2,            1, Dolpa   ,                     4
FIRE         ,        5,            0, Dolpa   ,                     3
FIRE         ,        3,            0, Jumla   ,                     2
FIRE         ,        9,            0, Salyan  ,                     5
FOREST_FIRE  ,       10,            0, Salyan  ,                     6
FLOOD        ,        9,            0, Bardiya ,                     6
FOREST_FIRE  ,        4,            1, Dolpa   ,                     5
FLOOD        ,        6,            0, Surkhet ,                     5
FIRE         ,        1,            0, Dang    ,                     1
FIRE         ,        9,            0, Dolpa   ,                     5
FLOOD        ,        7,            1, Bardiya ,                     7
FOREST_FIRE  ,        7,            0, Banke   ,                     4
FLOOD        ,        1,            0, Surkhet ,                     2
FLOOD        ,        8,            1, Bardiya ,                     8
FLOOD        ,        1,            1, Rolpa   ,                     4
FIRE         ,        7,            0, Rukum   ,                     4
FLOOD        ,        1,            1, Surkhet ,                     4
FIRE         ,        9,            0, Banke   ,                     5
FLOOD        ,       10,            0, Surkhet ,                     7
FIRE         ,        1,            1, Surkhet ,                     3
FOREST_FIRE  ,       10,            1, Dolpa   ,                     8
FOREST_FIRE  ,        1,            1, Salyan  ,                     3
FOREST_FIRE  ,       10,            0, Bardiya ,                     6
FOREST_FIRE  ,        7,            0, Banke   ,                     4
FIRE         ,        6,            0, Surkhet ,                     4
FLOOD        ,        9,            0, Jumla   ,                     6
FLOOD        ,        5,            1, Dolpa   ,                     6
FIRE         ,        7,            0, Dang    ,                     4
FIRE         ,        7,            1, Banke   ,                     6
FOREST_FIRE  ,        4,            0, Surkhet ,                     3
FLOOD        ,        4,            0, Kailali ,                     4
FIRE         ,        7,            1, Banke   ,                     6
FLOOD        ,        7,            0, Jumla   ,                     5
FLOOD        ,        1,            0, Surkhet ,                     2
FLOOD        ,        4,            1, Bardiya ,                     6
FLOOD        ,        7,            0, Jumla   ,                     5
FLOOD        ,        7,            1, Dolpa   ,                     7
FIRE         ,        8,            1, Dang    ,                     7
FOREST_FIRE  ,        3,            0, Salyan  ,                     2
FIRE         ,        9,            0, Dolpa   ,                     5
FIRE         ,        2,            1, Salyan  ,                     4
FLOOD        ,        3,            0, Surkhet ,                     3
FIRE         ,        5,            1, Salyan  ,                     5
FIRE         ,        7,            1, Kailali ,                     6
FLOOD        ,       10,            0, Kailali ,                     7
FOREST_FIRE  ,        6,            1, Jumla   ,                     6
FIRE         ,        6,            1, Jumla   ,                     6
FOREST_FIRE  ,        2,            0, Rolpa   ,                     2
FLOOD        ,        9,            0, Kailali ,                     6
FLOOD        ,       10,            0, Bardiya ,                     7
FLOOD        ,        8,            0, Bardiya ,                     6
FOREST_FIRE  ,        2,            0, Salyan  ,                     2
FLOOD        ,        5,            0, Surkhet ,                     4
FLOOD        ,        9,            0, Bardiya ,                     6
FIRE         ,        8,            1, Bardiya ,                     7
FLOOD        ,        6,            1, Banke   ,                     7
FIRE         ,        7,            1, Surkhet ,                     6
FLOOD        ,        9,            1, Banke   ,                     8
FIRE         ,        4,            1, Kailali ,                     5
FOREST_FIRE  ,        2,            1, Rolpa   ,                     4
FIRE         ,        2,            1, Dang    ,                     4
FLOOD        ,        9,            1, Kailali ,                     8
FOREST_FIRE  ,        5,            0, Bardiya ,                     3
FOREST_FIRE  ,        6,            0, Salyan  ,                     4
FIRE         ,        1,            1, Jumla   ,                     3
FOREST_FIRE  ,        4,            1, Rukum   ,                     5
FIRE         ,        3,            1, Rukum   ,                     4
FOREST_FIRE  ,        6,            0, Rolpa   ,                     4
FLOOD        ,        2,            1, Rolpa   ,                     5
FOREST_FIRE  ,        2,            1, Dang    ,                     4
FIRE         ,        4,            0, Salyan  ,                     3
FIRE         ,        7,            1, Jumla   ,                     6
FLOOD        ,        4,            1, Dolpa   ,                     6
FIRE         ,        7,            1, Salyan  ,                     6
FIRE         ,        6,            1, Surkhet ,                     6
FLOOD        ,        1,            1, Dang    ,                     4
FOREST_FIRE  ,        2,            1, Surkhet ,                     4
FOREST_FIRE  ,        9,            1, Dolpa   ,                     7
FIRE         ,        9,            0, Surkhet ,                     5
FLOOD        ,        3,            1, Dang    ,                     5
FLOOD        ,        3,            1, Surkhet ,                     5
FOREST_FIRE  ,        5,            1, Rolpa   ,                     5
FLOOD        ,        9,            1, Surkhet ,                     8
FIRE         ,        4,            0, Banke   ,                     3
FIRE         ,        2,            1, Salyan  ,                     4
FIRE         ,        7,            0, Kailali ,                     4
FOREST_FIRE  ,        9,            1, Bardiya ,                     7
FLOOD        ,        6,            0, Dolpa   ,                     5
FOREST_FIRE  ,        4,            0, Dolpa   ,                     3
FOREST_FIRE  ,        5,            1, Surkhet ,                     5
FLOOD        ,       10,            1, Kailali ,                     8
FLOOD        ,        3,            1, Bardiya ,                     5
FLOOD        ,        8,            1, Jumla   ,                     8
FIRE         ,        6,            0, Kailali ,                     4
FOREST_FIRE  ,        3,            1, Jumla   ,                     4
FLOOD        ,        6,            1, Banke   ,                     7
FLOOD        ,        8,            1, Rukum   ,                     8
FOREST_FIRE  ,        3,            0, Jumla   ,                     2
FIRE         ,       10,            0, Jumla   ,                     6
FLOOD        ,        9,            1, Rolpa   ,                     8
FOREST_FIRE  ,        5,            0, Rukum   ,                     3
FLOOD        ,        4,            0, Salyan  ,                     4
FOREST_FIRE  ,        7,            1, Surkhet ,                     6
FIRE         ,       10,            1, Rukum   ,                     8
FOREST_FIRE  ,        3,            0, Kailali ,                     2
FLOOD        ,        9,            1, Surkhet ,                     8
FOREST_FIRE  ,        9,            0, Banke   ,                     5
FLOOD        ,        1,            1, Rukum   ,                     4
FIRE         ,        5,            1, Kailali ,                     5
FOREST_FIRE  ,        1,            1, Banke   ,                     3
FIRE         ,        1,            1, Surkhet ,                     3
FOREST_FIRE  ,        4,            0, Dang    ,                     3
FIRE         ,        6,            1, Dolpa   ,                     6
FOREST_FIRE  ,        9,            0, Salyan  ,                     5
FIRE         ,        9,            0, Salyan  ,                     5
FIRE         ,        7,            0, Banke   ,                     4
FLOOD        ,        8,            0, Dolpa   ,                     6
FOREST_FIRE  ,       10,            1, Dolpa   ,                     8
FLOOD        ,        9,            0, Salyan  ,                     6
FLOOD        ,        1,            0, Rukum   ,                     2
FIRE         ,        6,            0, Kailali ,                     4
FLOOD        ,        3,            0, Surkhet ,                     3
FLOOD        ,        5,            1, Banke   ,                     6
FIRE         ,        9,            0, Salyan  ,                     5
FLOOD        ,        7,            0, Dolpa   ,                     5
FIRE         ,        7,            0, Kailali ,                     4
FIRE         ,        3,            1, Dolpa   ,                     4
FOREST_FIRE  ,        6,            0, Surkhet ,                     4
FIRE         ,        5,            0, Kailali ,                     3
FOREST_FIRE  ,       10,            0, Rolpa   ,                     6
FOREST_FIRE  ,        4,            1, Banke   ,                     5
FOREST_FIRE  ,        4,            0, Rolpa   ,                     3
FLOOD        ,        7,            0, Banke   ,                     5
FIRE         ,        5,            1, Rolpa   ,                     5
FOREST_FIRE  ,        7,            1, Rolpa   ,                     6
FLOOD        ,        2,            1, Kailali ,                     5
FOREST_FIRE  ,        4,            1, Jumla   ,                     5
FOREST_FIRE  ,        3,            0, Bardiya ,                     2
FOREST_FIRE  ,        4,            0, Kailali ,                     3
FIRE         ,        3,            1, Dolpa   ,                     4
FIRE         ,        8,            1, Dang    ,                     7
FOREST_FIRE  ,       10,            0, Surkhet ,                     6
FLOOD        ,       10,            1, Rolpa   ,                     8
FLOOD        ,        2,            1, Jumla   ,                     5
FOREST_FIRE  ,        8,            1, Jumla   ,                     7
FIRE         ,        6,            0, Kailali ,                     4
FLOOD        ,       10,            0, Salyan  ,                     7
FIRE         ,        1,            1, Salyan  ,                     3
FOREST_FIRE  ,        2,            1, Dang    ,                     4
FOREST_FIRE  ,        2,            0, Rolpa   ,                     2
FLOOD        ,        2,            0, Rolpa   ,                     3
FOREST_FIRE  ,       10,            0, Dang    ,                     6
FOREST_FIRE  ,        4,            1, Salyan  ,                     5
FIRE         ,        6,            1, Dolpa   ,                     6
FIRE         ,       10,            0, Bardiya ,                     6
FOREST_FIRE  ,        5,            0, Kailali ,                     3
FLOOD        ,        7,            1, Bardiya ,                     7
FLOOD        ,        7,            1, Salyan  ,                     7
FLOOD        ,        9,            0, Salyan  ,                     6
FLOOD        ,        6,            1, Dang    ,                     7
FLOOD        ,       10,            1, Rukum   ,                     8
FOREST_FIRE  ,        8,            0, Jumla   ,                     5
FIRE         ,        4,            1, Jumla   ,                     5
FLOOD        ,        4,            1, Kailali ,                     6
FIRE         ,        6,            0, Rukum   ,                     4
FIRE         ,        7,            1, Jumla   ,                     6
FLOOD        ,       10,            0, Salyan  ,                     7
FIRE         ,        1,            1, Rolpa   ,                     3
FOREST_FIRE  ,        5,            1, Salyan  ,                     5
FOREST_FIRE  ,        4,            0, Kailali ,                     3
FLOOD        ,        1,            1, Jumla   ,                     4
FLOOD        ,        4,            1, Bardiya ,                     6
FLOOD        ,        4,            1, Jumla   ,                     6
FOREST_FIRE  ,       10,            1, Dolpa   ,                     8
FOREST_FIRE  ,        2,            1, Bardiya ,                     4
FLOOD        ,        5,            1, Bardiya ,                     6
FIRE         ,        7,            0, Dang    ,                     4
FIRE         ,        7,            1, Banke   ,                     6
FLOOD        ,        3,            0, Rukum   ,                     3
FLOOD        ,        8,            1, Rolpa   ,                     8
FOREST_FIRE  ,        5,            1, Surkhet ,                     5
FOREST_FIRE  ,        3,            1, Salyan  ,                     4
FOREST_FIRE  ,        1,            0, Banke   ,                     1
FLOOD        ,        6,            0, Bardiya ,                     5
FIRE         ,        7,            1, Kailali ,                     6
FIRE         ,        4,            0, Banke   ,                     3
FIRE         ,        7,            1, Bardiya ,                     6
FIRE         ,        8,            0, Dang    ,                     5
FIRE         ,        9,            0, Rukum   ,                     5
FLOOD        ,        7,            0, Rukum   ,                     5
FLOOD        ,        7,            0, Rukum   ,                     5
FOREST_FIRE  ,        6,            0, Banke   ,                     4
FIRE         ,        3,            1, Jumla   ,                     4
FOREST_FIRE  ,        9,            0, Jumla   ,                     5
